Kuo10_S140_L004_	Kuo1_S131_L004_	Kuo_2_L004_	Kuo_3_L004_	Kuo_4_L004_	Kuo_5_L004_	Kuo_6_L004_	Kuo_7_L004_	Kuo_8_L004_	Kuo_9_L004_
raw total sequences:	19673850	48890884	72114286	58353714	64700730	50461000	53653688	45623340	56740400	62615764
filtered sequences:	0	0	0	0	0	0	0	0	0	0
sequences:	19673850	48890884	72114286	58353714	64700730	50461000	53653688	45623340	56740400	62615764
is sorted:	1	1	1	1	1	1	1	1	1	1
1st fragments:	9836925	24445442	36057143	29176857	32350365	25230500	26826844	22811670	28370200	31307882
last fragments:	9836925	24445442	36057143	29176857	32350365	25230500	26826844	22811670	28370200	31307882
reads mapped:	18535864	46974287	69359324	56493894	61603944	48381157	52057653	42446143	54031783	60323008
reads mapped and paired:	17877386	45846844	67811214	55466354	59812412	47228292	50986174	40633676	52568268	59061008
reads unmapped:	1137986	1916597	2754962	1859820	3096786	2079843	1596035	3177197	2708617	2292756
reads properly paired:	14781112	42126156	62424850	51543264	54224830	43054584	49544714	34194226	46297352	55553126
reads paired:	19673850	48890884	72114286	58353714	64700730	50461000	53653688	45623340	56740400	62615764
reads duplicated:	0	0	0	0	0	0	0	0	0	0
reads MQ0:	170770	248938	382745	275027	372387	306332	330099	345495	351822	390876
reads QC failed:	0	0	0	0	0	0	0	0	0	0
non-primary alignments:	5331288	12168892	16160605	13150239	14629803	12762257	17536575	10956515	12621921	15716290
supplementary alignments:	0	0	0	0	0	0	0	0	0	0
total length:	2699650105	6880722281	9889459297	8139220770	9026862010	6927497034	7680980861	6318670079	7591372347	8866681659
total first fragment length:	1350462363	3441726046	4946870955	4071315627	4515139767	3465839923	3842168464	3160921077	3797905665	4434773393
total last fragment length:	1349187742	3438996235	4942588342	4067905143	4511722243	3461657111	3838812397	3157749002	3793466682	4431908266
bases mapped:	2535298967	6601987159	9495244336	7872332496	8575073568	6627167224	7448957402	5850989755	7202088084	8535195774
bases mapped (cigar):	2508159894	6534802935	9388201554	7790976249	8480475661	6549867864	7379499545	5773434068	7113175996	8451570113
bases trimmed:	0	0	0	0	0	0	0	0	0	0
bases duplicated:	0	0	0	0	0	0	0	0	0	0
mismatches:	6606797	15266274	21011492	17343964	19425719	14514835	18087845	13499917	15443025	20028507
error rate:	2.634121e-03	2.336149e-03	2.238074e-03	2.226161e-03	2.290640e-03	2.216050e-03	2.451094e-03	2.338282e-03	2.171045e-03	2.369797e-03
average length:	137	140	137	139	139	137	143	138	133	141
average first fragment length:	137	141	137	140	140	137	143	139	134	142
average last fragment length:	137	141	137	139	139	137	143	138	134	142
maximum length:	151	151	151	151	151	151	151	151	151	151
maximum first fragment length:	151	151	151	151	151	151	151	151	151	151
maximum last fragment length:	151	151	151	151	151	151	151	151	151	151
average quality:	35.5	35.6	35.7	35.7	35.6	35.7	35.7	35.6	35.7	35.6
insert size average:	756.5	717.2	731.2	693.4	667.7	707.6	654.3	684.3	668.2	748.9
insert size standard deviation:	1601.5	1509.1	1534.2	1486.3	1444.1	1520.8	1493.0	1497.4	1476.6	1548.8
inward oriented pairs:	6517645	18559856	25845223	21875898	22742449	17441673	22078727	14639712	19223451	24105276
outward oriented pairs:	1649358	3687359	7268411	5397495	5942125	5416952	3320635	4054285	6250195	4730097
pairs with other orientation:	17272	16198	19367	10900	24913	16968	3046	34909	18980	15833
pairs on different chromosomes:	754418	660009	772606	448884	1196719	738553	90679	1587932	791508	679298
percentage of properly paired reads (%):	75.1	86.2	86.6	88.3	83.8	85.3	92.3	74.9	81.6	88.7
